MovieLink	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6
https://movie.douban.com/subject/3541415/	12	5	2	10	14	4
https://movie.douban.com/subject/1929463/	12	5	3	9	14	3
https://movie.douban.com/subject/1889243/	10	5	3	13	11	3
https://movie.douban.com/subject/26752088/	9	4	3	11	13	3
https://movie.douban.com/subject/1292052/	8	2	3	8	15	4
https://movie.douban.com/subject/1291546/	7	1	3	6	16	4
https://movie.douban.com/subject/3742360/	10	5	2	9	11	2
https://movie.douban.com/subject/3793023/	9	3	2	6	14	3
https://movie.douban.com/subject/26387939/	6	5	3	9	13	3
https://movie.douban.com/subject/1292720/	7	2	3	6	14	3
https://movie.douban.com/subject/26266893/	7	4	2	8	13	1
https://movie.douban.com/subject/4920389/	5	4	2	12	10	3
https://movie.douban.com/subject/25662329/	9	5	1	7	11	4
https://movie.douban.com/subject/26325320/	5	3	3	10	12	1
https://movie.douban.com/subject/26611804/	6	3	1	11	10	2
https://movie.douban.com/subject/1309046/	6	4	2	5	13	4
https://movie.douban.com/subject/1293182/	7	4	2	4	13	3
https://movie.douban.com/subject/1652587/	8	4	2	5	12	3
https://movie.douban.com/subject/26861685/	7	5	3	10	8	1
https://movie.douban.com/subject/27060077/	4	4	2	8	12	2
https://movie.douban.com/subject/1292064/	5	3	1	7	12	3
https://movie.douban.com/subject/27024903/	6	2	1	9	10	3
https://movie.douban.com/subject/1292213/	7	3	2	8	10	2
https://movie.douban.com/subject/1900841/	4	3	1	4	13	4
https://movie.douban.com/subject/26580232/	6	4	1	7	11	2
https://movie.douban.com/subject/3319755/	6	5	1	4	12	2
https://movie.douban.com/subject/1907966/	5	4	3	7	10	5
https://movie.douban.com/subject/20495023/	7	4	1	7	10	3
https://movie.douban.com/subject/6307447/	8	4	1	3	11	3
https://movie.douban.com/subject/26862829/	7	2	1	8	10	1
https://movie.douban.com/subject/1292001/	4	4	3	4	12	4
https://movie.douban.com/subject/7054120/	4	3	2	5	12	4
https://movie.douban.com/subject/21937445/	3	4	3	7	11	3
https://movie.douban.com/subject/1306029/	2	3	2	5	13	1
https://movie.douban.com/subject/1295644/	7	4	2	6	9	5
https://movie.douban.com/subject/21318488/	6	3	1	8	10	1
https://movie.douban.com/subject/2131459/	6	2	2	4	12	2
https://movie.douban.com/subject/1851857/	6	2	1	6	11	3
https://movie.douban.com/subject/1291561/	4	2	1	5	12	4
https://movie.douban.com/subject/2149806/	6	2	1	4	12	2
https://movie.douban.com/subject/1292365/	7	2	1	5	11	1
https://movie.douban.com/subject/26425063/	5	4	2	8	9	3
https://movie.douban.com/subject/3395373/	4	4	3	8	9	3
https://movie.douban.com/subject/1291841/	4	4	2	3	12	2
https://movie.douban.com/subject/1295124/	4	2	3	4	12	2
https://movie.douban.com/subject/1307914/	4	3	1	6	11	3
https://movie.douban.com/subject/1292063/	4	3	2	3	12	3
https://movie.douban.com/subject/26683290/	5	4	2	7	9	4
https://movie.douban.com/subject/3592854/	6	3	1	6	10	3
https://movie.douban.com/subject/26277313/	6	4	2	5	10	3
https://movie.douban.com/subject/11026735/	8	4	2	6	8	2
https://movie.douban.com/subject/25864085/	4	5	1	6	10	3
https://movie.douban.com/subject/3793783/	7	4	1	6	9	2
https://movie.douban.com/subject/11525673/	5	5	2	5	10	2
https://movie.douban.com/subject/1293839/	5	4	1	4	11	2
https://movie.douban.com/subject/1292000/	6	4	1	5	10	2
https://movie.douban.com/subject/6786002/	3	3	3	5	11	3
https://movie.douban.com/subject/1292722/	6	3	1	5	10	3
https://movie.douban.com/subject/3075287/	6	3	3	4	10	3
https://movie.douban.com/subject/4920528/	7	4	2	5	9	2
https://movie.douban.com/subject/1978709/	8	3	2	6	8	1
https://movie.douban.com/subject/4023638/	5	2	0	4	11	3
https://movie.douban.com/subject/2129039/	5	3	2	3	11	2
https://movie.douban.com/subject/1291549/	5	5	2	1	10	4
https://movie.douban.com/subject/1291858/	4	5	1	5	10	2
https://movie.douban.com/subject/1485260/	6	2	1	2	10	5
https://movie.douban.com/subject/26614893/	5	3	3	5	10	1
https://movie.douban.com/subject/1291828/	5	4	3	4	10	1
https://movie.douban.com/subject/24405378/	6	3	1	6	9	2
https://movie.douban.com/subject/24751756/	7	4	1	6	8	1
https://movie.douban.com/subject/1849031/	6	3	2	4	10	0
https://movie.douban.com/subject/21324900/	3	4	0	9	7	3
https://movie.douban.com/subject/1298624/	2	4	1	2	11	4
https://movie.douban.com/subject/1299398/	6	3	2	5	9	2
https://movie.douban.com/subject/25986180/	4	5	1	8	7	2
https://movie.douban.com/subject/11502153/	3	3	2	5	10	3
https://movie.douban.com/subject/1291560/	6	3	1	5	9	2
https://movie.douban.com/subject/4268598/	5	2	1	2	11	1
https://movie.douban.com/subject/1291843/	3	3	1	5	10	3
https://movie.douban.com/subject/3792799/	5	3	2	5	9	3
